album_id,album,copy_album_id
0,Ooh Yeah!,0
1,Greatest Hits,1
2,Western Standard Time,2
3,Hangin' Tough,3
4,Dream Of Life,4
5,Hanging Fire,5
6,Small Block,6
7,The Trinity Session,7
8,Mincing Steps,8
9,Tears Of Joy,9
10,Loving Proof,10
11,Rigor Mortis (Expanded Edition) [Remastered],11
12,Diamonds & Dirt,12
13,All My Best,13
14,Best Of Kodo,14
15,Today,15
16,Garfunkel,16
17,Hairway To Steven,17
18,A Little Bit Of Broadway,18
19,From Time to Time Free,19
20,Ned Rorem: Orchestral Works,20
21,"Beethoven: Piano Sonatas Nos. 9, 10, 24, 27 and 28",21
22,"Beethoven: Piano Sonatas Nos. 5-7, Op. 10 and No. 25, Op. 79",22
23,Beethoven: Symphony No. 9,23
24,Gorilla Biscuits,24
25,Starfish,25
26,Swinging Macedonia,26
27,How Will I Laugh Tomorrow When I Can't Even Smile Today,27
28,Tibetan Bells: The Empty Mirror,28
29,Back To Avalon,29
30,No Exit - 25th Anniversary Edition,30
31,Super Hits,31
32,DUO,32
33,Here We Are,33
34,Disturbing The Peace,34
35,Free Cocaine,35
36,Live - Lange Schatten Tour '88,36
37,"Shostakovich, D.: Symphony No. 11, ""The Year 1905""",37
38,Beast On My Back,38
39,Irving Berlin: A Hundred Years,39
40,Visions,40
41,No Borders,41
42,Wormed by Leonard,42
43,"All Time Greatest Hits, Vol. 1",43
44,Barrelhouse And Blues,44
45,That Woman Is Poison!,45
46,Record of Changes,46
47,At The End Of The Evening,47
48,"Reicha: Wind Quintets, Vol. 5",48
49,"Reicha: Complete Wind Quintets, Vol. 6",49
50,Sirius,50
51,Dreaming #11,51
52,Rachmaninov: Piano Concerto No. 2 / Rhapsody On A Theme of Paganini,52
53,Even Worse,53
54,Ives: Holidays Symphony,54
55,Opp-Pop-A-DA,55
56,Caifanes,56
57,Romantico y Sabroso,57
58,20,58
59,Tibetan Sacred Temple Music,59
60,From London With Love: The Music of James Bond,60
61,Never Die Young,61
62,Albert,62
63,Stardust,63
64,Ese día piensa en mí,64
65,"Bach, J.S.: Goldberg Variations (Arr. J. Guillou)",65
66,Creator,66
67,Love Songs and the Blues,67
68,Nippers 50's-Vol.1,68
69,"Vocal Recital: Baird, Julianne - Johnson, R. / Morley, T. / Lanier, N. / Wilson, J. / Campion, T. (The English Lute Song)",69
70,Nippers 50's-Vol.2,70
71,Beethoven: Piano Concertos Nos. 2 And 5,71
72,Twilight,72
73,Mr. Boogie's Back In Town,73
74,Ne m'en veux pas,74
75,Jazz Brunch,75
76,Me Gusta Como Andas,76
77,"Tchaikovsky: Swan Lake, Op. 20a & The Sleeping Beauty, Op. 66 (Excerpts)",77
78,Carmen Sings Monk,78
79,De Amor y Salsa,79
80,Years Since Yesterday,80
81,"Chet Atkins, C.G.P.",81
82,French Festival,82
83,Best Of The Youngbloods,83
84,Kill For Pleasure,84
85,The Monuments Of Mars,85
86,The Best,86
87,Prime Cuts,87
88,Australian Percussion,88
89,Downtown Dreamers,89
90,Tegoto: Japanese Koto Music,90
91,German Romantic Overtures,91
92,Baroque Favourites,92
93,The Heifetz Collection; Volume 17; Bach: Sonatas & Partitas,93
94,Sacred Space Music,94
95,Pachelbel Kanon/Adagios,95
96,"Piano Recital: Rosenberger, Carol - Chopin, F. / Faure, G. / Debussy, C. / Granados, E. / Griffes, C. / Liszt, F.",96
97,"Hovhaness: Shalimar, Piano Solos",97
98,Lucky Man,98
99,Tchaikovsky: 1812 Overture / Marche slave,99
100,Sousa Spectacular,100
101,Hungarian Festival,101
102,In The Marshes,102
103,"Romantic Piano Favourites, Vol. 2",103
104,"Romantic Piano Favourites, Vol. 3",104
105,Brahms: Complete Symphonies,105
106,"Romantic Piano Favourites, Vol. 1",106
107,"Mozart: Symphonies Nos. 25, 32 and 41",107
108,The Mozart Album,108
109,Jewel Lake,109
110,The Film Music Of John Barry,110
111,Berlioz: Symphonie Fantastique,111
112,Hear No Evil,112
113,Tougher Than Leather (Expanded Edition),113
114,Their Greatest Yiddish Hits,114
115,Morning Has Broken,115
116,"Vivaldi: Violin Concertos Op. 8, Nos. 5-8 and 10-12",116
117,Lovely,117
118,La cigale,118
119,"Romantic Piano Favourites, Vol. 4",119
120,Bizet: Carmen Suites Nos. 1 and 2 / L'Arlesienne Suites Nos. 1 and 2,120
121,"Beethoven: Piano Sonatas Nos. 8, 14 and 23",121
122,"Brahms, J.: Clarinet Sonatas Nos. 1 and 2 / Schumann, R.: Fantasiestucke",122
123,Of Wind And Water,123
124,Ravel/Debussy: Orchestral Works,124
125,Fog Tropes - Gradual Requiem,125
126,Say Uncle,126
127,Tops,127
128,Brigadoon (Original Broadway Cast Recording),128
129,Schreker: Vorspiel Zur 'Memnon' / Romantic Suite,129
130,It's Alive,130
131,"Beethoven: Piano Sonatas Nos. 12, 16 and 18",131
132,"Beethoven: Piano Sonatas Nos. 17, 21, and 26",132
133,Tougher Than Leather,133
134,Silhouette,134
135,Romantic Violin Favourites,135
136,Spanish Festival,136
137,The Seventh One,137
138,Beethoven: Symphonies Nos. 3 and 8,138
139,Tripping Up The Stairs,139
140,Tchaikovsky: The Nutcracker / Swan Lake (Excerpts),140
141,Pure Tuck & Patti,141
142,"Beethoven: Piano Sonatas Nos. 1-3, Op. 2",142
143,Tää kaipuu,143
144,Moeran: Symphony in G Minor / Overture for A Masque / Rhapsody for Piano and Orchestra,144
145,Anything Goes (New Broadway Cast Recording (1987)),145
146,Angels In Daring,146
147,Invitation To The Dance,147
148,Gypsy Alley,148
149,La Koro Sutro,149
150,Reverie,150
151,More Violence and Geography,151
152,Stockhausen - MANTRA,152
153,Random Abstract,153
154,Mozart: Kleine Nachtmusik (Eine) / Serenata Notturna / Divertimento No. 10,154
155,Sibelius & Nielsen: Violin Concertos,155
156,Jelly Roll Morton,156
157,"Bach, J.S.: Organ Favourites",157
158,"Strauss, R.: Also Sprach Zarathustra / Salome's Dance",158
159,All Of This And Nothing,159
160,Folkways: A Vision Shared,160
161,Cocktail (Original Motion Picture Soundtrack),161
162,Handel: Famous Organ Concertos,162
163,Transcendence,163
164,Bach: Art of the Fugue,164
165,Out Of The Frame,165
166,The Irish Concertina,166
167,Point Of Views,167
168,And You Know That!,168
169,More Than Friends,169
170,"Vivaldi: L´Estro Armonico, Op. 3",170
