,artists
0,['Daryl Hall & John Oates']
1,['The Judds']
2,['Asleep At The Wheel']
3,['New Kids On The Block']
4,['Patti Smith']
5,['Patti Smith'
6,'Jay Dee Daugherty'
7,'Lenny Kaye']
8,['Jimmy Cliff']
9,['Big Drill Car']
10,['Cowboy Junkies']
11,['Downy Mildew']
12,['Tuck & Patti']
13,['Patti Cathcart'
14,'Tuck Andress']
15,['Patti Cathcart']
16,['Ricky Van Shelton']
17,['Rigor Mortis'
18,'Mike Scaccia'
19,'Bruce Corbitt'
20,'Casey Orr'
21,'Harden Harrison'
22,'Dave Ogilvie']
23,['Rodney Crowell']
24,['Rodney Crowell'
25,'Rosanne Cash']
26,['Hagood Hardy']
27,['Kodo']
28,['Galaxie 500']
29,['Art Garfunkel']
30,['Butthole Surfers']
31,['Julie Andrews']
32,['Joachim Kühn Trio']
33,['Ned Rorem'
34,'Atlanta Symphony Orchestra'
35,'Robert Shaw']
36,'Louis Lane']
37,['Ludwig van Beethoven'
38,'Jenő Jandó']
39,'Erich Leinsdorf']
40,['Gorilla Biscuits']
41,['The Church']
42,['Dusky Goykovich']
43,['Suicidal Tendencies']
44,['Henry Wolff']
45,['Nancy Hennings'
46,'Henry Wolff']
47,'Brian Keane'
48,['Kenny Loggins']
49,['Fates Warning']
50,['Kenny Drew'
51,'Niels-Henning Ørsted Pedersen']
52,['P.I.D.']
53,['Little Charlie & The Nightcats']
54,['Dwarves']
55,['Journey']
56,['Peter Maffay']
57,['Dmitri Shostakovich'
58,'Sven-Erik Paananen'
59,'Helsinki Philharmonic Orchestra'
60,'James DePreist']
61,['Crumbsuckers']
62,['Ben Selvin & His Orchestra'
63,'Ben Selvin'
64,'The Dorsey Brothers']
65,['Jan Garber'
66,'Jan Garber & His Greater Columbia Recording Orchestra']
67,['Connie Boswell']
68,['Arthur Schutt']
69,['Victor Young'
70,'Bing Crosby'
71,'The Brunswick Orchestra']
72,['Eddie Cantor']
73,['Gene Austin']
74,['Ethel Wathers']
75,['The Boswell Sisters'
76,"""The Dorsey Brothers' Orchestra""]"
77,['Fred Astaire']
78,['Bunny Berigan & His Boys; Vocal by Chick Bullock']
79,['Red Norvo'
80,'Red Norvo Orchestra']
81,['Billie Holiday'
82,'Teddy Wilson']
83,['Red Norvo & His Orchestra'
84,'Mildred Bailey']
85,['Benny Goodman']
86,['Dinah Shore']
87,['Tony Bennett']
88,['Rosemary Clooney'
89,'Guy Mitchell']
90,['Johnny Mathis']
91,['Judy Holliday']
92,['Andre Kostelanetz & His Orchestra']
93,['Walt Dickerson'
94,'Sun Ra']
95,['Carl Verheyen Group']
96,['Thinking Fellers Union Local 282']
97,['Henry Mancini']
98,['Sammy Price']
99,['Rufus Thomas']
100,['SamulNori']
101,['Billy Oskay']
102,['Nightnoise']
103,['Antoine Reicha'
104,'Albert Schweitzer Quintet']
105,['Clannad']
106,['Clannad'
107,'Steve Perry']
108,'Bruce Hornsby']
109,['Joe Satriani']
110,['Sergei Rachmaninoff'
111,'Jenő Jandó'
112,'Budapest Symphony Orchestra'
113,'György Lehel']
114,"['""Weird Al"" Yankovic']"
115,['Charles Ives'
116,'Michael Tilson Thomas'
117,'Chicago Symphony Orchestra']
118,'Michael Tilson Thomas']
119,['Moe Koffman']
120,['Caifanes']
121,['El Gran Combo De Puerto Rico']
122,['Harry Connick
123,Jr.']
124,['Eight Lamas From Drepung']
125,['London Symphony Orchestra'
126,'John Cacavas']
127,['James Taylor']
128,['Ed Hall']
129,['Louis Armstrong']
130,['Los Suaves']
131,['Johann Sebastian Bach'
132,'Jean Victor Arthur Guillou']
133,['The Lemonheads']
134,['James Talley']
135,['Mario Lanza']
136,['Pee Wee King & His Golden West Cowboys']
137,['Eartha Kitt']
138,['Pérez Prado']
139,['Eddy Arnold and his Guitar']
140,['Eddie Fisher']
141,['Kay Starr']
142,['Elvis Presley']
143,['Harry Belafonte']
144,['The Ames Brothers']
145,['Perry Como']
146,['Lou Monte'
147,'Joe Reisman & His Orchestra']
148,['Don Gibson']
149,['Hank Locklin']
150,['Jesse Belvin']
151,['Floyd Robinson']
152,['The Browns']
153,['Neil Sedaka']
154,['Jim Reeves']
155,['Anonymous\xa0'
156,'Julianne Baird'
157,'Ronn McFarlane']
158,['Robert Johnson'
159,['Thomas Morley'
160,['Nicholas Lanier'
161,['Alfonso Ferrabosco II'
162,['John Wilson'
163,['Thomas Campion'
164,['Thomas Brewer'
165,['William Webb'
166,['Hank Snow
167,The Singing Ranger
168,And His Rainbow Ranch Boys']
169,['Phil Harris']
170,['Tony Martin']
171,['June Valli']
172,['The Ames Brothers'
173,'Hugo Winterhalter And His Orchestra']
174,['Hugo Winterhalter And His Orchestra']
175,['Mickey & Sylvia']
176,['Ray Peterson']
177,['Homer & Jethro']
178,['Della Reese']
179,['The Isley Brothers']
180,'Stefan Vladar'
181,'Capella Istropolitana']
182,'Capella Istropolitana'
183,'Stefan Vladar']
184,['Channel 5']
185,['Mitch Woods and His Rocket 88‘S']
186,['Ginette Reno']
187,['Ernie Wilkins'
188,'Claude Bolling']
189,['Dale Bennett'
190,['Claude Bolling'
191,'VIRGINA VEE']
192,['Fats Waller'
193,'Andy Razaf'
194,['Claude Bolling']
195,['George Gershwin'
196,['Duke Ellington'
197,['Neal Hefti'
198,['Siniestro Total']
199,['Pyotr Ilyich Tchaikovsky'
200,'Wiener Symphoniker'
201,'Edouard Van Remoortel']
202,['Carmen McRae']
203,['Gilberto Santa Rosa']
204,['The Paladins']
205,['Chet Atkins']
206,['Emmanuel Chabrier'
207,'Slovak Radio Symphony Orchestra'
208,'Ondrej Lenard']
209,['Maurice Ravel'
210,'Keith Clark']
211,['Gabriel Fauré'
212,['Benjamin Godard'
213,['Claude Debussy'
214,['Erik Satie'
215,'Claude Debussy'
216,['Jacques Offenbach'
217,'Alfred Reed'
218,['Camille Saint-Saëns'
219,['The Youngbloods']
220,['Blood Feast']
221,['Mark Dwane']
222,['Grupo Niche']
223,['Nigel Westlake'
224,'Michael Askill']
225,['Michael Askill']
226,['Ross Edwards'
227,['Peter Sculthorpe'
228,['Martin Wesley-Smith'
229,['MASI']
230,['Tomoko Sunazaki']
231,['Carl Maria von Weber'
232,'Alfred Walter']
233,['Heinrich Marschner'
234,['Engelbert Humperdinck'
235,['Otto Nicolai'
236,['Albert Lortzing'
237,['Capella Istropolitana'
238,'George Frideric Handel']
239,['Antonio Vivaldi'
240,'Alexander Jablokov'
241,'Anonymous'
242,'Michael Praetorius']
243,'Giuseppe Torelli']
244,'Johann Sebastian Bach']
245,'Domenico Scarlatti']
246,'Jascha Heifetz']
247,['Constance Demby']
248,['Johann Pachelbel'
249,'Baroque Chamber Orchestra'
250,'Ettore Stratta']
251,['Benedetto Marcello'
252,['Remo Giazotto'
253,'Tomaso Albinoni'
254,'Ettore Stratta'
255,'Baroque Chamber Orchestra']
256,['Domenico Cimarosa'
257,['George Frideric Handel'
258,['Frédéric Chopin'
259,'Carol Rosenberger']
260,['Enrique Granados'
261,['Charles Griffes'
262,['Franz Liszt'
263,['Alan Hovhaness']
264,['Henry Gray']
